date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:17	912/912	---M-Z	200	added ('OK')	image/svg+xml	etag:%22390-5fb7f227-c8f33adb14012e3a;gz%22	https://techbtt.site/img/flags/vin2.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/flags/vin2.svg	(from https://techbtt.site/)
22:18:17	2083/2083	---M-Z	200	added ('OK')	image/svg+xml	etag:%22823-5fb7f227-76a17fba80fe2ff;gz%22	https://techbtt.site/img/flags/eng.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/flags/eng.svg	(from https://techbtt.site/)
22:18:17	114890/114890	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c0ca-5fb7f227-5256079061d57742;gz%22	https://techbtt.site/img/flags/esp2.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/flags/esp2.svg	(from https://techbtt.site/)
22:18:17	33532/33532	---M--	200	added ('OK')	image/png	etag:%2282fc-5fb7f227-9c823083498b671f;;;%22	https://techbtt.site/img/logo.png?v=2.3	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/logo2d4c.png	(from https://techbtt.site/)
22:18:18	6729/6729	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a49-5fb7f227-7b63d1442163c775;gz%22	https://techbtt.site/img/tron_full.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/tron_full.svg	(from https://techbtt.site/)
22:18:18	3982/3982	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f8e-5fb7f227-38770812183765ff;gz%22	https://techbtt.site/img/trx.svg	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/trx.svg	(from https://techbtt.site/)
22:18:18	2118/2118	---M--	200	added ('OK')	image/png	etag:%22846-5fb7f227-a7dd23b8047554ba;;;%22	https://techbtt.site/img/ico1.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/ico1.png	(from https://techbtt.site/)
22:18:19	2536/2536	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jul%202019%2006:18:14%20GMT	https://techbtt.site/calculation	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/calculation	(from https://techbtt.site/)
22:18:19	919/919	---M--	200	added ('OK')	image/png	etag:%22397-5fb7f227-37adcae7da110a90;;;%22	https://techbtt.site/img/icostep2.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/icostep2.png	(from https://techbtt.site/)
22:18:19	846/846	---M--	200	added ('OK')	image/png	etag:%2234e-5fb7f227-8ba0b8a3b8391ec3;;;%22	https://techbtt.site/img/icostep3.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/icostep3.png	(from https://techbtt.site/)
22:18:19	888/888	---M--	200	added ('OK')	image/png	etag:%22378-5fb7f227-801dc02a9b54b08c;;;%22	https://techbtt.site/img/icostep5.png	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/icostep5.png	(from https://techbtt.site/)
22:18:19	33532/33532	---M--	200	added ('OK')	image/png	etag:%2282fc-5fb7f227-9c823083498b671f;;;%22	https://techbtt.site/img/logo.png?v=1	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/img/logo3860.png	(from https://techbtt.site/)
22:18:19	620/620	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2226c-5fb7f227-9e8a2d23d1731fce;gz%22	https://techbtt.site/js/classie.js	C:/Users/educa/Documents/Ford/bancamovil/techbtt.site/js/classie.js	(from https://techbtt.site/)
